company_id,employee_id,name,nationality,sector,profession,salary,is_low_wage,is_saudi,gender,hire_date,years_of_service,job_family,skill_level,left_job,is_active
1,EMP-001-4943,Barbara Neal,Egyptian,healthcare,doctor,19448,FALSE,FALSE,Female,25-06-21,5.7,Finance,3,FALSE,TRUE
1,EMP-001-7568,Christopher Gray,Syrian,healthcare,doctor,16244,FALSE,FALSE,Female,18-02-25,1.6,Finance,1,FALSE,TRUE
1,EMP-001-2526,Katie Arnold,Jordanian,healthcare,administrative_assistant,3904,FALSE,FALSE,Female,07-06-24,3,HR,1,FALSE,TRUE
1,EMP-001-2082,Timothy Brown,Filipino,healthcare,technician,3907,FALSE,FALSE,Female,20-03-19,7.5,HR,3,FALSE,TRUE
1,EMP-001-7055,Megan Middleton,Indian,healthcare,nurse,8717,FALSE,FALSE,Male,26-01-21,5.5,Operations,2,FALSE,TRUE
1,EMP-001-6306,John Moran,Egyptian,healthcare,administrative_assistant,5201,FALSE,FALSE,Female,16-02-20,6.8,IT,3,FALSE,TRUE
1,EMP-001-9486,Alexis Gibson,Syrian,healthcare,nurse,10635,FALSE,FALSE,Female,19-05-26,1,Operations,1,FALSE,TRUE
1,EMP-001-8313,Jason Warren,Bangladeshi,healthcare,nurse,9550,FALSE,FALSE,Male,14-05-24,2.3,Operations,1,FALSE,TRUE
1,EMP-001-2845,Jason Garcia,Bangladeshi,healthcare,administrative_assistant,4393,FALSE,FALSE,Male,14-06-25,1.3,Operations,1,FALSE,TRUE
1,EMP-001-2442,Mohammed Khalid Al-Shammari,Saudi,healthcare,administrative_assistant,3317,TRUE,TRUE,Male,12-03-18,8.6,Sales,4,FALSE,TRUE
1,EMP-001-4347,Donna Nicholson,Indian,healthcare,nurse,11377,FALSE,FALSE,Female,27-03-25,1.8,HR,1,FALSE,TRUE
1,EMP-001-5227,Rachel Vazquez,Pakistani,healthcare,doctor,19786,FALSE,FALSE,Female,24-01-24,2.1,HR,2,FALSE,TRUE
1,EMP-001-8072,Joshua Daniels,Bangladeshi,healthcare,nurse,10304,FALSE,FALSE,Male,06-02-23,3.6,IT,2,FALSE,TRUE
1,EMP-001-5238,Diane Vaughn,Indian,healthcare,technician,5818,FALSE,FALSE,Male,16-02-24,2.6,HR,1,FALSE,TRUE
